Method,WithConstraints,Mechanism,MissingRate,Iteration,MAE,RMSE,R2,ExecutionTime,ViolationsPre,Family,ModelFamily
Mean,False,MCAR,0.1,1,3.680445425860283,9.032180931747511,0.8309946184392778,0.0139551162719726,4.0,ML,
Median,False,MCAR,0.1,1,3.540735506201327,9.405832816503914,0.8167222322648777,0.012782335281372,4.0,ML,
KNN,False,MCAR,0.1,1,2.6626703201615225,6.283477738967979,0.9182071317454203,0.3735384941101074,4.0,ML,
MICE,False,MCAR,0.1,1,2.0705912350038265,5.909215884772249,0.9276605854627004,4.753435850143433,404.0,ML,
MissForest,False,MCAR,0.1,1,2.0554889529852898,5.858858223674864,0.92888826840523,182.2827591896057,8.0,ML,
Mean_Constrained,True,MCAR,0.1,1,3.5118120000035997,8.821753749050407,0.8387776906284399,0.0749216079711914,0.0,ML,
Median_Constrained,True,MCAR,0.1,1,3.3725785982117102,9.203519137951638,0.8245218222458971,0.0713412761688232,0.0,ML,
KNN_Constrained,True,MCAR,0.1,1,2.6000080761465245,6.228201899371648,0.9196398679650588,0.5551095008850098,0.0,ML,
MICE_Constrained,True,MCAR,0.1,1,2.057423266622858,5.90692725461346,0.9277166084981744,5.392480134963989,0.0,ML,
MissForest_Constrained,True,MCAR,0.1,1,2.054764984136141,5.858746120108841,0.9288909896871338,183.00161266326904,0.0,ML,
Mean,False,MCAR,0.1,2,3.6019518440332403,8.411481093864872,0.8366519650680984,0.0216472148895263,4.0,ML,
Median,False,MCAR,0.1,2,3.4010082304526748,8.544991978865239,0.8314253421635298,0.0214693546295166,4.0,ML,
KNN,False,MCAR,0.1,2,2.584401822457377,5.904582110386401,0.91950900410991,0.4709367752075195,4.0,ML,
MICE,False,MCAR,0.1,2,1.9838361911287623,5.074098214154244,0.9405589179792248,6.583671569824219,394.0,ML,
MissForest,False,MCAR,0.1,2,2.022125249853028,5.2262035532221605,0.936941794164336,181.03409790992737,4.0,ML,
Mean_Constrained,True,MCAR,0.1,2,3.4388153335441363,8.187426590368805,0.8452381879019485,0.0755009651184082,0.0,ML,
Median_Constrained,True,MCAR,0.1,2,3.238309817754262,8.324037190565154,0.8400305720095598,0.088172435760498,0.0,ML,
KNN_Constrained,True,MCAR,0.1,2,2.520057319223986,5.853018783103932,0.920908683655458,0.5581951141357422,0.0,ML,
MICE_Constrained,True,MCAR,0.1,2,1.971667984542355,5.072847103422451,0.9405882269142024,6.904335021972656,0.0,ML,
MissForest_Constrained,True,MCAR,0.1,2,2.021456525573192,5.226089391289023,0.9369445490390664,181.85407280921936,0.0,ML,
Mean,False,MCAR,0.1,3,3.701539418640333,9.343327172208284,0.8203990828931744,0.0183966159820556,4.0,ML,
Median,False,MCAR,0.1,3,3.576459874786568,9.710767592123188,0.8059951633703213,0.0171220302581787,4.0,ML,
KNN,False,MCAR,0.1,3,2.7049240182128624,6.739291737400787,0.906559758846594,0.511035680770874,4.0,ML,
MICE,False,MCAR,0.1,3,2.131772926366891,5.707413990565858,0.93298312270625,6.226275682449341,373.0,ML,
MissForest,False,MCAR,0.1,3,2.1086145418326696,5.559618209474673,0.9364090410644266,181.92240500450131,4.0,ML,
Mean_Constrained,True,MCAR,0.1,3,3.5414940621474336,9.15024766285935,0.8277452785699193,0.0727527141571044,0.0,ML,
Median_Constrained,True,MCAR,0.1,3,3.41645702902675,9.525504009568833,0.8133270610417964,0.0898103713989257,0.0,ML,
KNN_Constrained,True,MCAR,0.1,3,2.644906943653956,6.694789355627318,0.9077897349032203,0.5498960018157959,0.0,ML,
MICE_Constrained,True,MCAR,0.1,3,2.119731020959865,5.705973244485945,0.9330169531298386,6.597813129425049,0.0,ML,
MissForest_Constrained,True,MCAR,0.1,3,2.1081634889015364,5.5595752320572975,0.9364100242127352,184.18567991256717,0.0,ML,
Mean,False,MCAR,0.1,4,3.6041505942110144,8.655746982603882,0.828823613229511,0.0186707973480224,4.0,ML,
Median,False,MCAR,0.1,4,3.4312709901563405,8.859704134664582,0.8206616428334423,0.017449140548706,4.0,ML,
KNN,False,MCAR,0.1,4,2.5740330052113487,6.077528573830065,0.9156104312270104,0.4983265399932861,4.0,ML,
MICE,False,MCAR,0.1,4,2.091564392938063,5.414870457529261,0.9330098590726328,8.5039803981781,390.0,ML,
MissForest,False,MCAR,0.1,4,2.0255885060799077,5.236237349148014,0.9373568775360324,183.06481289863584,4.0,ML,
Mean_Constrained,True,MCAR,0.1,4,3.437927258833517,8.429130235174688,0.8376694437201866,0.0910930633544921,0.0,ML,
Median_Constrained,True,MCAR,0.1,4,3.265810654313839,8.639225767319346,0.8294764379950192,0.0683648586273193,0.0,ML,
KNN_Constrained,True,MCAR,0.1,4,2.513089171974522,6.027666267303973,0.9169894776851228,0.4962098598480224,0.0,ML,
MICE_Constrained,True,MCAR,0.1,4,2.079654901204122,5.413383581430856,0.9330466438358808,7.673022747039795,0.0,ML,
MissForest_Constrained,True,MCAR,0.1,4,2.024779299363057,5.235557356437591,0.9373731465085476,184.8688967227936,0.0,ML,
Mean,False,MCAR,0.1,5,3.592529545523649,8.936700544203086,0.8273865490133078,0.0248496532440185,4.0,ML,
Median,False,MCAR,0.1,5,3.45279204393647,9.196311846649303,0.8172120325602127,0.0174384117126464,4.0,ML,
KNN,False,MCAR,0.1,5,2.682448270743654,6.687954513562326,0.9033266328316112,0.4617576599121094,4.0,ML,
MICE,False,MCAR,0.1,5,2.099339313806818,5.831435780910817,0.9265027281670074,5.299075126647949,344.0,ML,
MissForest,False,MCAR,0.1,5,2.099163811785661,5.5890516333832005,0.9324855914156592,182.1668119430542,4.0,ML,
Mean_Constrained,True,MCAR,0.1,5,3.4486031926806944,8.762539554560243,0.8340488726961005,0.0712146759033203,0.0,ML,
Median_Constrained,True,MCAR,0.1,5,3.310814902775716,9.02839545416405,0.8238261801465997,0.0704526901245117,0.0,ML,
KNN_Constrained,True,MCAR,0.1,5,2.632426005640493,6.658103678996534,0.9041876854978153,0.6187918186187744,0.0,ML,
MICE_Constrained,True,MCAR,0.1,5,2.088344330473516,5.830268551756678,0.9265321478762903,5.9010560512542725,0.0,ML,
MissForest_Constrained,True,MCAR,0.1,5,2.0988031171144423,5.58901888329224,0.9324863826398916,181.64285039901733,0.0,ML,
Mean,False,MCAR,0.2,1,3.595646541624268,8.64916445817568,0.8384360488693222,0.0187633037567138,4.0,ML,
Median,False,MCAR,0.2,1,3.4472611187694984,8.958367689768862,0.826677907708653,0.0151331424713134,4.0,ML,
KNN,False,MCAR,0.2,1,2.6906124936516,6.433620886648892,0.9106062642225378,0.5381960868835449,5.0,ML,
MICE,False,MCAR,0.2,1,2.2304704442776875,6.233495524371265,0.9160811624228056,5.758989810943604,821.0,ML,
MissForest,False,MCAR,0.2,1,2.099731001958935,5.635763057454148,0.9314035552687416,183.1967170238495,7.0,ML,
Mean_Constrained,True,MCAR,0.2,1,3.444838130329073,8.447865266356285,0.8458689585145254,0.0717642307281494,0.0,ML,
Median_Constrained,True,MCAR,0.2,1,3.2954436624827683,8.760219777781352,0.8342604484516781,0.0710399150848388,0.0,ML,
